ID de la réponse,Date de soumission,Dernière page,Langue de départ,Tête de série,Dans quel type d'établissement exercez-vous votre activité ?,Dans quel type d'établissement exercez-vous votre activité ? [Autre],Où réalisez-vous votre activité en lien avec les données de recherche ? [Laboratoire / unité / équipe de recherche],Où réalisez-vous votre activité en lien avec les données de recherche ? [Infrastructure de recherche],"Où réalisez-vous votre activité en lien avec les données de recherche ? [Service central d'appui (par exemple Direction de la recherche, DSI, SCD, …)]",Où réalisez-vous votre activité en lien avec les données de recherche ? [Service déconcentré d'appui (par exemple une cellule décentralisée d’une direction centrale dans une délégation ou un centre)],"Où réalisez-vous votre activité en lien avec les données de recherche ? [Direction de l'établissement (par exemple DGS, Vice-Président.e, Chargé.e de mission, …)]",Où réalisez-vous votre activité en lien avec les données de recherche ? [Autre],Sur quel domaine thématique réalisez-vous votre activité sur les données ?,Sur quel domaine thématique réalisez-vous votre activité sur les données ? [Autre],"Sur quelle(s) partie(s) du cycle de vie des données intervenez-vous ? [Planification, plan de gestion de données]","Sur quelle(s) partie(s) du cycle de vie des données intervenez-vous ? [Collecte, création, stockage]","Sur quelle(s) partie(s) du cycle de vie des données intervenez-vous ? [Analyse, traitement, calcul]",Sur quelle(s) partie(s) du cycle de vie des données intervenez-vous ? [Préparation du dépôt (structuration et description)],Sur quelle(s) partie(s) du cycle de vie des données intervenez-vous ? [Dépôt],Sur quelle(s) partie(s) du cycle de vie des données intervenez-vous ? [Ouverture ou partage (accès restreint)],Sur quelle(s) partie(s) du cycle de vie des données intervenez-vous ? [Réutilisation],Quelles sont les activités qu'implique votre travail sur les données ? [Superviser l’ensemble du cycle de vie],Quelles sont les activités qu'implique votre travail sur les données ? [Coordonner les activités de gestion et diffusion des données],Quelles sont les activités qu'implique votre travail sur les données ? [Garantir la qualité des données et leur conformité de diffusion par rapport aux cadres législatifs],Quelles sont les activités qu'implique votre travail sur les données ? [Décrire et mettre en œuvre le protocole d’obtention des données initiales – brutes],"Quelles sont les activités qu'implique votre travail sur les données ? [Nettoyer, affiner, convertir et décrire les données brutes (par des métadonnées scientifiques)]","Quelles sont les activités qu'implique votre travail sur les données ? [Structurer les données et les outils pour la collecte, le stockage et le traitement]","Quelles sont les activités qu'implique votre travail sur les données ? [Analyser, représenter, modéliser, prédire (statistiques, algorithmes, machine learning) ]","Quelles sont les activités qu'implique votre travail sur les données ? [Créer, structurer, décrire les jeux de données validés (ou aide à création, structuration, description)]","Quelles sont les activités qu'implique votre travail sur les données ? [Renseigner les métadonnées documentaires (contributeurs, établissements, licences, financeurs projets, …)]",Quelles sont les activités qu'implique votre travail sur les données ? [Choisir (ou aider au choix de) l’entrepôt],Quelles sont les activités qu'implique votre travail sur les données ? [Déposer les jeux de données],Quelles sont les activités qu'implique votre travail sur les données ? [Assurer la mise à jour des versions de jeux de données],Quelles sont les activités qu'implique votre travail sur les données ? [Publier en accès ouvert ou en partage restreint],Quelles sont les activités qu'implique votre travail sur les données ? [Accompagner la découverte des données],Quelles sont les activités qu'implique votre travail sur les données ? [Découvrir les données],Comment intervenez-vous sur ces activités ? [Garantir la qualité des données et leur conformité de diffusion par rapport aux cadres législatifs],Comment intervenez-vous sur ces activités ? [Décrire et mettre en œuvre le protocole d’obtention des données initiales – brutes],"Comment intervenez-vous sur ces activités ? [Nettoyer, affiner, convertir et décrire les données brutes (par des métadonnées scientifiques)]","Comment intervenez-vous sur ces activités ? [Structurer les données et les outils pour la collecte, le stockage et le traitement]","Comment intervenez-vous sur ces activités ? [Analyser, représenter, modéliser, prédire (statistiques, algorithmes, machine learning) ]","Comment intervenez-vous sur ces activités ? [Créer, structurer, décrire les jeux de données validés (ou aide à création, structuration, description)]","Comment intervenez-vous sur ces activités ? [Renseigner les métadonnées documentaires (contributeurs, établissements, licences, financeurs projets, …)]",Comment intervenez-vous sur ces activités ? [Choisir (ou aider au choix de) l’entrepôt],Comment intervenez-vous sur ces activités ? [Déposer les jeux de données],Comment intervenez-vous sur ces activités ? [Assurer la mise à jour des versions de jeux de données],Comment intervenez-vous sur ces activités ? [Publier en accès ouvert ou en partage restreint],Comment intervenez-vous sur ces activités ? [Accompagner la découverte des données],Comment intervenez-vous sur ces activités ? [Découvrir les données],Quel est le poids de chaque activité dans votre travail ? [Superviser l’ensemble du cycle de vie],Quel est le poids de chaque activité dans votre travail ? [Coordonner les activités de gestion et diffusion des données],Quel est le poids de chaque activité dans votre travail ? [Garantir la qualité des données et leur conformité de diffusion par rapport aux cadres législatifs],Quel est le poids de chaque activité dans votre travail ? [Décrire et mettre en œuvre le protocole d’obtention des données initiales – brutes],"Quel est le poids de chaque activité dans votre travail ? [Nettoyer, affiner, convertir et décrire les données brutes (par des métadonnées scientifiques)]","Quel est le poids de chaque activité dans votre travail ? [Structurer les données et les outils pour la collecte, le stockage et le traitement]","Quel est le poids de chaque activité dans votre travail ? [Analyser, représenter, modéliser, prédire (statistiques, algorithmes, machine learning) ]","Quel est le poids de chaque activité dans votre travail ? [Créer, structurer, décrire les jeux de données validés (ou aide à création, structuration, description)]","Quel est le poids de chaque activité dans votre travail ? [Renseigner les métadonnées documentaires (contributeurs, établissements, licences, financeurs projets, …)]",Quel est le poids de chaque activité dans votre travail ? [Choisir (ou aider au choix de) l’entrepôt],Quel est le poids de chaque activité dans votre travail ? [Déposer les jeux de données],Quel est le poids de chaque activité dans votre travail ? [Assurer la mise à jour des versions de jeux de données],Quel est le poids de chaque activité dans votre travail ? [Publier en accès ouvert ou en partage restreint],Quel est le poids de chaque activité dans votre travail ? [Accompagner la découverte des données],Quel est le poids de chaque activité dans votre travail ? [Découvrir les données],"Sur quels types de données travaillez-vous ? [Données de capteurs, données haut débit]",Sur quels types de données travaillez-vous ? [Données d'observation],Sur quels types de données travaillez-vous ? [Données expérimentales],"Sur quels types de données travaillez-vous ? [Données de modélisation, de simulation]","Sur quels types de données travaillez-vous ? [Données d'enquête, statistiques…]",Sur quels types de données travaillez-vous ? [Données du Web (réseaux sociaux…)],Sur quels types de données travaillez-vous ? [Texte (dont documents OCRisés)],Sur quels types de données travaillez-vous ? [Vidéo],Sur quels types de données travaillez-vous ? [Son],Sur quels types de données travaillez-vous ? [Image (dont archives numérisées)],Sur quels types de données travaillez-vous ? [Autre],Quel est votre niveau de diplôme ?,Quel est votre niveau de diplôme ? [Autre],Quel est le domaine de votre formation initiale ?,Quel est le domaine de votre formation initiale ? [Autre],Vous êtes-vous formé à la gestion et la diffusion des données de recherche ?  [Formation diplômante],Vous êtes-vous formé à la gestion et la diffusion des données de recherche ?  [Formation certifiante non diplômante],"Vous êtes-vous formé à la gestion et la diffusion des données de recherche ?  [Formation intra- ou inter-établissement (ANF, École thématique, Urfist, réseau métier…)]",Vous êtes-vous formé à la gestion et la diffusion des données de recherche ?  [Autoformation],"Quels postes, fonctions ou responsabilités significatifs avez-vous occupés dans l'enseignement supérieur et/ou la recherche, du plus récent au plus ancien ? [Intitulé du poste le plus récent]","Quels postes, fonctions ou responsabilités significatifs avez-vous occupés dans l'enseignement supérieur et/ou la recherche, du plus récent au plus ancien ? [Intitulé du poste précédent]","Quels postes, fonctions ou responsabilités significatifs avez-vous occupés dans l'enseignement supérieur et/ou la recherche, du plus récent au plus ancien ? [Intitulé du poste précédent] 2","Quels postes, fonctions ou responsabilités significatifs avez-vous occupés dans l'enseignement supérieur et/ou la recherche, du plus récent au plus ancien ? [Intitulé du poste précédent] 3","Quels postes, fonctions ou responsabilités significatifs avez-vous occupés dans l'enseignement supérieur et/ou la recherche, du plus récent au plus ancien ? [Intitulé du poste précédent] 4",Quelle est votre catégorie d'emploi actuel ?,Précisez votre catégorie,Précisez votre catégorie 2,Précisez votre branche d'activité.,Précisez votre branche d'activité. [Autre],"Dans le cadre de votre activité sur les données, sur quels réseaux ou communautés vous appuyez-vous ?",Sur quelles activités auriez-vous besoin d'une formation ? [Superviser l’ensemble du cycle de vie],Sur quelles activités auriez-vous besoin d'une formation ? [Coordonner les activités de gestion et diffusion des données],Sur quelles activités auriez-vous besoin d'une formation ? [Garantir la qualité des données et leur conformité de diffusion par rapport aux cadres législatifs],Sur quelles activités auriez-vous besoin d'une formation ? [Décrire et mettre en œuvre le protocole d’obtention des données initiales – brutes],"Sur quelles activités auriez-vous besoin d'une formation ? [Nettoyer, affiner, convertir et décrire les données brutes (par des métadonnées scientifiques)]","Sur quelles activités auriez-vous besoin d'une formation ? [Structurer les données et les outils pour la collecte, le stockage et le traitement]","Sur quelles activités auriez-vous besoin d'une formation ? [Analyser, représenter, modéliser, prédire (statistiques, algorithmes, machine learning) ]","Sur quelles activités auriez-vous besoin d'une formation ? [Créer, structurer, décrire les jeux de données validés (ou aide à création, structuration, description)]","Sur quelles activités auriez-vous besoin d'une formation ? [Renseigner les métadonnées documentaires (contributeurs, établissements, licences, financeurs projets, …)]",Sur quelles activités auriez-vous besoin d'une formation ? [Choisir (ou aider au choix de) l’entrepôt],Sur quelles activités auriez-vous besoin d'une formation ? [Déposer les jeux de données],Sur quelles activités auriez-vous besoin d'une formation ? [Assurer la mise à jour des versions de jeux de données],Sur quelles activités auriez-vous besoin d'une formation ? [Publier en accès ouvert ou en partage restreint],"Sur quelles activités auriez-vous besoin d'une formation ? [Faire un état des lieux des données existantes, des vocabulaires, standards et infrastructures…]",Sur quelles activités auriez-vous besoin d'une formation ? [Autre],Sous quel intitulé présentez-vous votre poste actuel ?,Votre établissement/organisme a-t-il formalisé une organisation des activités ou des rôles sur les données à l'échelle de l'établissement ou de différentes structures ?,"Vous pouvez décrire ici les éléments relatifs à cette formalisation, fournir un lien ou indiquer toute autre information.","Accepteriez-vous un entretien pour approfondir cette enquête ?  Nous souhaitons approfondir cette enquête au travers d'entretiens avec des profils variés de professionnels des données de recherche.  Si vous êtes volontaire pour un entretien en visio dans les prochains mois, merci de laisser vos coordonnées pour que nous puissions vous recontacter.  [Prénom]","Accepteriez-vous un entretien pour approfondir cette enquête ?  Nous souhaitons approfondir cette enquête au travers d'entretiens avec des profils variés de professionnels des données de recherche.  Si vous êtes volontaire pour un entretien en visio dans les prochains mois, merci de laisser vos coordonnées pour que nous puissions vous recontacter.  [Nom]","Accepteriez-vous un entretien pour approfondir cette enquête ?  Nous souhaitons approfondir cette enquête au travers d'entretiens avec des profils variés de professionnels des données de recherche.  Si vous êtes volontaire pour un entretien en visio dans les prochains mois, merci de laisser vos coordonnées pour que nous puissions vous recontacter.  [Adresse électronique]","Accepteriez-vous un entretien pour approfondir cette enquête ?  Nous souhaitons approfondir cette enquête au travers d'entretiens avec des profils variés de professionnels des données de recherche.  Si vous êtes volontaire pour un entretien en visio dans les prochains mois, merci de laisser vos coordonnées pour que nous puissions vous recontacter.  [Téléphone]"
6.0,,1.0,fr,2.091644529E9,Organisme de recherche,,Non,Oui,Non,Non,Non,,Sciences et technologies de l’information et de la communication,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
7.0,1980-01-01 00:00:00,4.0,fr,1.310951796E9,Université,,Oui,Non,Oui,Non,Non,,Science du numérique et mathématiques,,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui,Oui,Je réalise,Je réalise,Je coordonne,Je coordonne,Je réalise,Je réalise,,,,,,Je réalise,Je réalise,Faible,Faible,Modéré,Modéré,Important,Important,Très important,Très important,,,,,,Modéré,Modéré,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,,Bac+8,,Science du numérique et mathématiques,,"Oui, à mon initiative",Non,Non,"Oui, à mon initiative",,,,,,Chercheur / Enseignant-chercheur (y compris doctorant et contractuel),Professeur(e) / Directeur(trice) de Recherche ou assimilé,,,,"RDA, RBDD",Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Python,enseignant-chercheur,,,,,,
8.0,,1.0,fr,8.26683809E8,Université,,Oui,Non,Non,Non,Non,,Plusieurs/tous les domaines,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
9.0,1980-01-01 00:00:00,4.0,fr,1.86071549E9,Ecole,,Non,Non,Non,Non,Oui,,Biologie et santé,,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,,,,,,,,,Très important,,,,,,,,,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Bac+2,,Chimie et procédés,,Non,Non,"Oui, à mon initiative",Non,asdas,faafaefa,ggzgzgz,aaaaaaaa,,Personnel d'appui / soutien à la recherche,,Catégorie B,"Gestion et pilotage, Partenariat, Affaires juridiques",,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,deravdeafadf,,,aa,bbbb,aa@bbb.com,
10.0,1980-01-01 00:00:00,4.0,fr,2.138497875E9,Organisme de recherche,,Oui,Non,Non,Non,Non,,Energie,,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,,,,,,,,Je réalise,Je réalise,,,,,,,,,,,,,,Faible,Faible,,,,,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,Bac+5,,"Environnement, agronomie, écologie",,Non,Non,Non,Non,,,,,,Chercheur / Enseignant-chercheur (y compris doctorant et contractuel),Doctorant(e) / Post-doctorant(e),,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,doctorant,,,,,,
11.0,1980-01-01 00:00:00,4.0,en,1.695805084E9,Organisme de recherche,,Non,Non,Oui,Non,Non,,Physique,,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,Je réalise,,,,,,,,,,,,,,,Faible,,,,,,,,,,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,,Bac+3,,Biologie et santé,,Non,Non,Non,Non,,,,,,Personnel d'appui / soutien à la recherche,,Catégorie B,Personnels des bibliothèques,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,postdoc,,,,,,
12.0,,0.0,fr,7.18036582E8,Organisme de recherche,,Oui,Non,Non,Non,Non,,Sciences humaines et sociales,,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,,,,,,,Je réalise,,,,,,,,,,,,,,,Modéré,,,,,,,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,,,
13.0,,0.0,fr,9.61137683E8,Université,,Non,Oui,Non,Non,Non,,Plusieurs/tous les domaines,,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,,,,,,,,,Modéré,,,,,,,,,,,,,,,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Bac,,"Environnement, agronomie, écologie",,"Oui, à mon initiative",Non,Non,"Oui, à l'initiative de mon établissement",,,,,,Chercheur / Enseignant-chercheur (y compris doctorant et contractuel),,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,,,,,,,,
14.0,,1.0,fr,1.28403629E8,Organisme de recherche,,Non,Non,Oui,Non,Non,,Plusieurs/tous les domaines,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
15.0,1980-01-01 00:00:00,4.0,fr,1.39855773E9,Autre,Ministère,Non,Non,Non,Non,Oui,,Plusieurs/tous les domaines,,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,Modéré,,,,,,,,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,tou stypes,Bac+8,,Sciences humaines et sociales,,Non,Non,Non,"Oui, à mon initiative",Chef de projet FAIR Data,Chargé de mission FAIR Data,Chargé de programmes internationaux,,,Personnel d'appui / soutien à la recherche,,Catégorie A,"Gestion et pilotage, Partenariat, Affaires juridiques",,"RDA, GOFAIR, ISD",Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,chef de projet,Non,,,,,
16.0,,1.0,fr,1.9933102E7,Ecole,,Non,Non,Oui,Non,Non,,Sciences humaines et sociales,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
17.0,,,fr,1.208336276E9,,,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
18.0,1980-01-01 00:00:00,4.0,fr,5.05445076E8,Université,,Non,Non,Oui,Non,Non,,Autre,Sur tous les domaines,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Je coordonne,,,Je coordonne,,Je coordonne,Je coordonne,Je coordonne,Je coordonne,Je coordonne,Je coordonne,Je coordonne,Je coordonne,,Important,Modéré,,,Important,,Faible,Modéré,Important,Important,Modéré,Important,Faible,Faible,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Tout type,Bac+8,,Autre,Biophysique,Non,Non,Non,"Oui, à l'initiative de mon établissement",,,,,,Personnel d'appui / soutien à la recherche,,Catégorie A,"Informatique, Statistiques et Calcul Scientifique",,,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,ingénieur de recherche,,,,,,
19.0,,2.0,fr,5.38065534E8,Université,,Non,Non,Oui,Non,Non,,Plusieurs/tous les domaines,,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,,,,,,,,,Modéré,,,,,,,,,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
20.0,,1.0,fr,7.02875899E8,Organisme de recherche,,Oui,Non,Non,Non,Non,,Sciences du système Terre et de l'univers,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
